NCESSCH,USER_ID,cohort,cohort2,ZPR_1,FIDELmid,EFFmeanMID,EFFmeanFINAL,CoTeachStrat,FidelMax,female,REG_AgeRange,REG_Exper,REG_GPA,pctLunch,Enrollment
428009007050,Ang,Semester 4 Control,0, ,2.72727272727273,3.58333333333333, ,0, ,1,2,1,3,.298108284409654,1533
422583004704,502,Semester 5,1, ,-9, , ,0, ,1,2,2,3.6,.187665198237885,1135
422583001738,Ali,Semester 3 Control,0,-.589925998312403,3.81818181818182,3,3.5,0,4,1,1,2,3.9,.259668508287293,181
422583001736,410,Semester 4,1,-.168465977123192,4.54545454545455,3.33333333333333,3.91666666666667,3,4.83333333333333,1,2,2,3.5,.271457085828343,501
422583001735,Ama,Semester 3 Control,0,.389508039152431,4.72727272727273,3.5,3.33333333333333,0,4.08333333333333,1,1,1,3.7,.284210526315789,190
422583001734,Meg,Semester 1 Control,0, ,-9, ,3.58333333333333,0, , ,-88,-88,-88,.442622950819672,427
422583001732,Ala,Semester 1 Control,0, ,-9,3.16666666666667, ,0, ,1,2,3,3.6,.287854889589905,1268
422583001732,417,Semester 4,1,-1.5819550216893,4.72727272727273,2.83333333333333,2.83333333333333,2,4.75,0,2,1,3.2,.287854889589905,1268
422583001732,418,Semester 4,1,-3.20617407685001,3.54545454545455,2.16666666666667,3,2,3.66666666666667,0,2,1,3.1,.287854889589905,1268
422583001716,Reb,Semester 3 Control,0,.284143033855127,3.63636363636364,3.41666666666667,3.5,0,4.91666666666667,1,1,1,3.8,.383986928104575,612
422574004920,Bob,Semester 1 Control,0,1.41864507028342,-9,3.83333333333333,4,0, ,1,3,1,4,.475961538461538,416
422496002661,Kad,Semester 1 Control,0, ,-9,3.08333333333333, ,0, ,1,2,3,3.8,.169042769857434,491
422436009967,Mic,Semester 3 Control,0,-.589925998312403,3.36363636363636,3,3.58333333333333,0,5,1,3,1,3.9,.439655172413793,464
422304006608,409,Semester 4,1,-.658182995855608,4.72727272727273,3.08333333333333,3.66666666666667,4,5,1,2,3,3.6,.375370919881306,674
